Cave height: 30
Cave width: 51
Starting location: 1, 25
Target location: 29, 25

Grid of boulders:
BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
B  B   B       B      BB                B B    B  B
B    B  B        BB  B   B            B     B     B
BBBB B BB   B        B B     B   B  B B B  B      B
B     BB  B BB  B           B  BBB B B  BBB B   B B
BB          B   B  B                 B   B  B  B BB
B  B    B     B               B     BB B          B
BB  B  B           B     B            B    B  B   B
B      B    B    B      B            B BB B B  B  B
B  B  BB B                          B   B   B B   B
B     BB B          B   BB   B     B B            B
B       B    B        BB          B       BBB     B
B  B     BB   B  B        B    BB     B        B BB
B    B        BB                B  B  B         BBB
B   B                  B   B   B  B      B       BB
B       B    BB        B B B    B                BB
B    B     B B     B   BBB   BBB                  B
B                     B   B  B        B      B   BB
BB     B       BB                BB    B  B B     B
B       B        B B B        B    B     B        B
BB   B     BBB     B  B B     B    B        B   B B
B            B     B   B    B   B   B         BB  B
B  B             B                B  B BB        BB
B  B     BB  B  B B     B B B          B          B
B   B  BB           B           B         B       B
B    B   B     BB    B          B                 B
BB B  B     BB       BBB  B       B  BBB    B     B
B        B    B                   B       B    B  B
B B BB    B B     B         BB  B  B            B B
BBBBBBBBBBBBBBBBBBBBBBBBB BBBBBBBBBBBBBBBBBBBBBBBBB

Boulder locations:
0, 0
0, 1
0, 2
0, 3
0, 4
0, 5
0, 6
0, 7
0, 8
0, 9
0, 10
0, 11
0, 12
0, 13
0, 14
0, 15
0, 16
0, 17
0, 18
0, 19
0, 20
0, 21
0, 22
0, 23
0, 24
0, 25
0, 26
0, 27
0, 28
0, 29
0, 30
0, 31
0, 32
0, 33
0, 34
0, 35
0, 36
0, 37
0, 38
0, 39
0, 40
0, 41
0, 42
0, 43
0, 44
0, 45
0, 46
0, 47
0, 48
0, 49
0, 50
1, 0
1, 3
1, 7
1, 15
1, 22
1, 23
1, 40
1, 42
1, 47
1, 50
2, 0
2, 5
2, 8
2, 17
2, 18
2, 21
2, 25
2, 38
2, 44
2, 50
3, 0
3, 1
3, 2
3, 3
3, 5
3, 7
3, 8
3, 12
3, 21
3, 23
3, 29
3, 33
3, 36
3, 38
3, 40
3, 43
3, 50
4, 0
4, 6
4, 7
4, 10
4, 12
4, 13
4, 16
4, 28
4, 31
4, 32
4, 33
4, 35
4, 37
4, 40
4, 41
4, 42
4, 44
4, 48
4, 50
5, 0
5, 1
5, 12
5, 16
5, 19
5, 37
5, 41
5, 44
5, 47
5, 49
5, 50
6, 0
6, 3
6, 8
6, 14
6, 30
6, 36
6, 37
6, 39
6, 50
7, 0
7, 1
7, 4
7, 7
7, 19
7, 25
7, 38
7, 43
7, 46
7, 50
8, 0
8, 7
8, 12
8, 17
8, 24
8, 37
8, 39
8, 40
8, 42
8, 44
8, 47
8, 50
9, 0
9, 3
9, 6
9, 7
9, 9
9, 36
9, 40
9, 44
9, 46
9, 50
10, 0
10, 6
10, 7
10, 9
10, 20
10, 24
10, 25
10, 29
10, 35
10, 37
10, 50
11, 0
11, 8
11, 13
11, 22
11, 23
11, 34
11, 42
11, 43
11, 44
11, 50
12, 0
12, 3
12, 9
12, 10
12, 14
12, 17
12, 26
12, 31
12, 32
12, 38
12, 47
12, 49
12, 50
13, 0
13, 5
13, 14
13, 15
13, 32
13, 35
13, 38
13, 48
13, 49
13, 50
14, 0
14, 4
14, 23
14, 27
14, 31
14, 34
14, 41
14, 49
14, 50
15, 0
15, 8
15, 13
15, 14
15, 23
15, 25
15, 27
15, 32
15, 49
15, 50
16, 0
16, 5
16, 11
16, 13
16, 19
16, 23
16, 24
16, 25
16, 29
16, 30
16, 31
16, 50
17, 0
17, 22
17, 26
17, 29
17, 38
17, 45
17, 49
17, 50
18, 0
18, 1
18, 7
18, 15
18, 16
18, 33
18, 34
18, 39
18, 42
18, 44
18, 50
19, 0
19, 8
19, 17
19, 19
19, 21
19, 30
19, 35
19, 41
19, 50
20, 0
20, 1
20, 5
20, 11
20, 12
20, 13
20, 19
20, 22
20, 24
20, 30
20, 35
20, 44
20, 48
20, 50
21, 0
21, 13
21, 19
21, 23
21, 28
21, 32
21, 36
21, 46
21, 47
21, 50
22, 0
22, 3
22, 17
22, 34
22, 37
22, 39
22, 40
22, 49
22, 50
23, 0
23, 3
23, 9
23, 10
23, 13
23, 16
23, 18
23, 24
23, 26
23, 28
23, 39
23, 50
24, 0
24, 4
24, 7
24, 8
24, 20
24, 32
24, 42
24, 50
25, 0
25, 5
25, 9
25, 15
25, 16
25, 21
25, 32
25, 50
26, 0
26, 1
26, 3
26, 6
26, 12
26, 13
26, 21
26, 22
26, 23
26, 26
26, 34
26, 37
26, 38
26, 39
26, 44
26, 50
27, 0
27, 9
27, 14
27, 34
27, 42
27, 47
27, 50
28, 0
28, 2
28, 4
28, 5
28, 10
28, 12
28, 18
28, 28
28, 29
28, 32
28, 35
28, 48
28, 50
29, 0
29, 1
29, 2
29, 3
29, 4
29, 5
29, 6
29, 7
29, 8
29, 9
29, 10
29, 11
29, 12
29, 13
29, 14
29, 15
29, 16
29, 17
29, 18
29, 19
29, 20
29, 21
29, 22
29, 23
29, 24
29, 26
29, 27
29, 28
29, 29
29, 30
29, 31
29, 32
29, 33
29, 34
29, 35
29, 36
29, 37
29, 38
29, 39
29, 40
29, 41
29, 42
29, 43
29, 44
29, 45
29, 46
29, 47
29, 48
29, 49
29, 50
